link ,label ,gender ,bio ,nation ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58608 ,Hecate ,female ,"A chthonian goddess of both benign and terrible aspect; protector of warriors, athletes, hunters, herders and fishermen; associated with magic, witchcraft, lunar lore, predators and other nocturnal creatures, doorways and crossroads; her rites often featured dog sacrifices and illuminated cakes. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58608 ,Hecate ,female ,"A chthonian goddess of both benign and terrible aspect; protector of warriors, athletes, hunters, herders and fishermen; associated with magic, witchcraft, lunar lore, predators and other nocturnal creatures, doorways and crossroads; her rites often featured dog sacrifices and illuminated cakes. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56946 ,Anahita ,female ,"Zoroastrian divine being, goddess of the all waters and fertility; sometimes associated with Aphrodite/Venus (q.v.) or Athena/Minerva (q.v.) or Ardochsho (q.v.) and Nana (q.v.). ",Iranian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56946 ,Anahita ,female ,"Zoroastrian divine being, goddess of the all waters and fertility; sometimes associated with Aphrodite/Venus (q.v.) or Athena/Minerva (q.v.) or Ardochsho (q.v.) and Nana (q.v.). ",Persian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56946 ,Anahita ,female ,"Zoroastrian divine being, goddess of the all waters and fertility; sometimes associated with Aphrodite/Venus (q.v.) or Athena/Minerva (q.v.) or Ardochsho (q.v.) and Nana (q.v.). ",Zoroastrian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57292 ,Boreas ,male ,Personification of the North Wind and foremost of all the wind-gods; father of the Boreads (q.v.); he abducted Oreithyia (q.v.). ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57292 ,Boreas ,male ,Personification of the North Wind and foremost of all the wind-gods; father of the Boreads (q.v.); he abducted Oreithyia (q.v.). ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58248 ,Feronia ,female ,"Goddess, perhaps responsible for converting the savage forces of nature for human use. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58248 ,Feronia ,female ,"Goddess, perhaps responsible for converting the savage forces of nature for human use. ",Italic ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56940 ,Amphitrite ,female ,"A Nereid; wife of Poseidon/Neptune (q.v.) and mother of Triton (q.v.).

The Nereids are sea nymphs and daughters of Nereus (q.v.); notable individuals include Amphitrite, Galatea (q.v.) and Thetis (q.v.), mother of Achilles (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56940 ,Amphitrite ,female ,"A Nereid; wife of Poseidon/Neptune (q.v.) and mother of Triton (q.v.).

The Nereids are sea nymphs and daughters of Nereus (q.v.); notable individuals include Amphitrite, Galatea (q.v.) and Thetis (q.v.), mother of Achilles (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58378 ,Gaia ,female ,"Primordial earth and mother goddess; mother of Uranus (q.v.) and, as a result of her couplings with him, of many other deities, including the Titans (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57947 ,Dione ,female ,Consort of Zeus/Jupiter (q.v.) in his sanctuary at Dodona. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58120 ,Eris ,female ,Goddess/personification of discord. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58120 ,Eris ,female ,Goddess/personification of discord. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58607 ,Hebe ,female ,Goddess of youth; daughter of Zeus/Jupiter (q.v.) and Hera/Juno (q.v.); cup-bearer and handmaiden of the gods until she married Herakles/Hercules (q.v.) after his apotheosis. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56959 ,Anteros ,male ,Son of Ares/Mars (q.v.) and Aphrodite/Venus (q.v.) and brother of Eros/Cupid (q.v.); the god of mutual love and tenderness; his proximity enabled Eros/Cupid to increase in strength. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56959 ,Anteros ,male ,Son of Ares/Mars (q.v.) and Aphrodite/Venus (q.v.) and brother of Eros/Cupid (q.v.); the god of mutual love and tenderness; his proximity enabled Eros/Cupid to increase in strength. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57040 ,Artemis Bendis ,female ,"Syncretic deity, combining the attributes of the goddesses Artemis/Diana (q.v.) and Bendis (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57282 ,Bendis ,female ,"Thracian goddess often represented as a booted huntress, hence her frequent conflation with Artemis/Diana (q.v.); leader of a orgiastic cult. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57282 ,Bendis ,female ,"Thracian goddess often represented as a booted huntress, hence her frequent conflation with Artemis/Diana (q.v.); leader of a orgiastic cult. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58097 ,Eileithyia ,female ,"Daughter of Zeus (q.v.) and Hera (q.v.), goddess of childbirth and midwiving; helped her mother in several occasions, trying to prevent Leto (q.v.) and Alcmene (q.v.) from giving birth. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57926 ,Dea Dia ,female ,Goddess associated with the brightness of the sun and with agricultural prosperity. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57927 ,Dea Syria ,female ,Goddess associated with Syria. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57952 ,Dispater ,male ,Gallo-Roman form of Zeus/Jupiter (q.v.). ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57952 ,Dispater ,male ,Gallo-Roman form of Zeus/Jupiter (q.v.). ,Gaulish ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57066 ,Athena-Isis-Tyche ,female ,"Syncretic deity, combining the attributes of the goddesses Athena/Minerva (q.v.), Isis (q.v.) and Tyche/Fortuna (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57066 ,Athena-Isis-Tyche ,female ,"Syncretic deity, combining the attributes of the goddesses Athena/Minerva (q.v.), Isis (q.v.) and Tyche/Fortuna (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59555 ,Nereus ,male ,"Minor sea-god; son of Pontus and husband of the Oceanid, Doris (q.v.); father of the Nereids (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58671 ,Hypnos/Somnus ,male ,God of sleep. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58671 ,Hypnos/Somnus ,male ,God of sleep. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58926 ,Zeus/Jupiter Sabazius ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Sabzius (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58926 ,Zeus/Jupiter Sabazius ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Sabzius (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58926 ,Zeus/Jupiter Sabazius ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Sabzius (q.v.). ",Phrygian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60352 ,Sabazius ,male ,An 'ancestral' god; his cult became associated with that of Zeus/Jupiter (q.v.) [Zeus/Jupiter Sabazius (q.v.)]. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60352 ,Sabazius ,male ,An 'ancestral' god; his cult became associated with that of Zeus/Jupiter (q.v.) [Zeus/Jupiter Sabazius (q.v.)]. ,Greek ,
