;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;301.508;189.027;106.608;;;;;;;;;;;;;;;;;;
08115  BOEBLINGEN;248.281;159.719;84.350;;;;;;;;;;;;;;;;;;
08116  ESSLINGEN;324.901;213.997;106.569;;;;;;;;;;;;;;;;;;
08117  GOEPPINGEN;161.062;104.146;54.545;;;;;;;;;;;;;;;;;;
08118  LUDWIGSBURG;324.853;219.028;101.142;;;;;;;;;;;;;;;;;;
08119  REMS-MURR-KREIS;258.473;173.677;81.359;;;;;;;;;;;;;;;;;;
08121  HEILBRONN,STADT;65.650;42.434;22.257;;;;;;;;;;;;;;;;;;
08125  HEILBRONN;234.957;144.149;87.519;;;;;;;;;;;;;;;;;;
08126  HOHENLOHEKREIS;79.985;43.212;35.707;;;;;;;;;;;;;;;;;;
08127  SCHWAEBISCH-HALL;124.446;73.779;48.766;;;;;;;;;;;;;;;;;;
08128  MAIN-TAUBER-KREIS;86.772;52.591;32.697;;;;;;;;;;;;;;;;;;
08135  HEIDENHEIM;80.964;51.965;27.905;;;;;;;;;;;;;;;;;;
08136  OSTALBKREIS;199.147;123.593;72.979;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;2.490.999;1.591.317;862.403;;;;;;;;;;;;;;;;;;
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;34.025;21.421;12.169;;;;;;;;;;;;;;;;;;
08212  KARLSRUHE,STADT;139.186;88.677;48.088;;;;;;;;;;;;;;;;;;
08215  KARLSRUHE;272.015;181.051;87.082;;;;;;;;;;;;;;;;;;
08216  RASTATT;147.332;97.794;47.776;;;;;;;;;;;;;;;;;;
08221  HEIDELBERG,STADT;59.986;38.155;20.960;;;;;;;;;;;;;;;;;;
08222  MANNHEIM,STADT;149.700;97.845;49.677;;;;;;;;;;;;;;;;;;
08225  NECKAR-ODENWALD-KREIS;91.115;56.990;33.002;;;;;;;;;;;;;;;;;;
08226  RHEIN-NECKAR-KREIS;344.339;225.661;113.421;;;;;;;;;;;;;;;;;;
08231  PFORZHEIM,STADT;60.313;39.897;19.554;;;;;;;;;;;;;;;;;;
08235  CALW;100.553;62.594;36.603;;;;;;;;;;;;;;;;;;
08236  ENZKREIS;127.963;85.974;40.221;;;;;;;;;;;;;;;;;;
08237  FREUDENSTADT;74.114;44.277;28.860;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.600.641;1.040.336;537.413;;;;;;;;;;;;;;;;;;
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;91.325;55.772;33.938;;;;;;;;;;;;;;;;;;
08315  BREISGAU-HOCHSCHWARZWALD;154.267;98.773;53.246;;;;;;;;;;;;;;;;;;
08316  EMMENDINGEN;97.729;64.389;31.986;;;;;;;;;;;;;;;;;;
08317  ORTENAUKREIS;263.415;170.923;89.728;;;;;;;;;;;;;;;;;;
08325  ROTTWEIL;90.615;55.828;33.782;;;;;;;;;;;;;;;;;;
08326  SCHWARZWALD-BAAR-KREIS;127.426;81.871;43.924;;;;;;;;;;;;;;;;;;
08327  TUTTLINGEN;85.165;52.184;32.016;;;;;;;;;;;;;;;;;;
08335  KONSTANZ;156.400;107.996;45.849;;;;;;;;;;;;;;;;;;
08336  LOERRACH;134.297;91.921;40.514;;;;;;;;;;;;;;;;;;
08337  WALDSHUT;104.558;69.965;33.403;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.305.197;849.622;438.386;;;;;;;;;;;;;;;;;;
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;175.075;111.202;61.399;;;;;;;;;;;;;;;;;;
08416  TUEBINGEN;121.914;75.748;44.117;;;;;;;;;;;;;;;;;;
08417  ZOLLERNALBKREIS;124.212;78.985;43.633;;;;;;;;;;;;;;;;;;
08421  ULM,STADT;65.342;38.855;25.612;;;;;;;;;;;;;;;;;;
08425  ALB-DONAU-KREIS;122.996;76.187;45.452;;;;;;;;;;;;;;;;;;
08426  BIBERACH;125.541;75.989;48.056;;;;;;;;;;;;;;;;;;
08435  BODENSEEKREIS;133.745;86.438;45.375;;;;;;;;;;;;;;;;;;
08436  RAVENSBURG;173.116;105.948;65.085;;;;;;;;;;;;;;;;;;
08437  SIGMARINGEN;82.865;49.929;31.636;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.124.806;699.281;410.365;;;;;;;;;;;;;;;;;;
LAND INSGESAMT;6.521.643;4.180.556;2.248.567;;;;;;;;;;;;;;;;;;
BAYERN;;;;;;;;;;;;;;;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;95.562;57.050;35.355;;;;;;;;;;;;;;;;;;
09162  MUENCHEN,STADT;727.179;424.574;288.961;;;;;;;;;;;;;;;;;;
09163  ROSENHEIM,STADT;34.167;21.065;12.649;;;;;;;;;;;;;;;;;;
09171  ALTOETTING;68.261;43.543;23.787;;;;;;;;;;;;;;;;;;
09172  BERCHTESGADENER LAND;63.167;40.551;21.942;;;;;;;;;;;;;;;;;;
09173  BAD TOELZ-WOLFRATSHAUSEN;77.669;46.458;30.149;;;;;;;;;;;;;;;;;;
09174  DACHAU;88.893;56.536;31.069;;;;;;;;;;;;;;;;;;
09175  EBERSBERG;81.580;50.027;30.366;;;;;;;;;;;;;;;;;;
09176  EICHSTAETT;81.041;49.010;31.135;;;;;;;;;;;;;;;;;;
09177  ERDING;85.506;51.560;32.539;;;;;;;;;;;;;;;;;;
09178  FREISING;105.034;61.576;41.862;;;;;;;;;;;;;;;;;;
09179  FUERSTENFELDBRUCK;119.956;78.141;40.138;;;;;;;;;;;;;;;;;;
09180  GARMISCH-PARTENKIRCHEN;50.803;32.381;17.748;;;;;;;;;;;;;;;;;;
09181  LANDSBERG AM LECH;78.040;46.533;30.122;;;;;;;;;;;;;;;;;;
09182 MIESBACH ;63.730;38.305;24.630;;;;;;;;;;;;;;;;;;
09183 MUEHLDORF A.INN ;71.036;44.436;25.585;;;;;;;;;;;;;;;;;;
09184 MUENCHEN ;241.015;141.553;95.580;;;;;;;;;;;;;;;;;;
09185 NEUBURG-SCHROBENHAUSEN ;62.724;38.140;23.769;;;;;;;;;;;;;;;;;;
09186 PFAFFENHOFEN A.D.ILM ;80.357;47.195;31.996;;;;;;;;;;;;;;;;;;
09187 ROSENHEIM ;164.843;102.044;60.677;;;;;;;;;;;;;;;;;;
09188 STARNBERG ;85.340;52.276;31.801;;;;;;;;;;;;;;;;;;
09189 TRAUNSTEIN ;112.194;70.099;40.650;;;;;;;;;;;;;;;;;;
09190 WEILHEIM-SCHONGAU ;84.864;52.878;30.753;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2.722.961;1.645.931;1.033.263;;;;;;;;;;;;;;;;;;
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;36.208;22.340;13.340;;;;;;;;;;;;;;;;;;
09262 PASSAU,STADT ;27.448;17.207;9.906;;;;;;;;;;;;;;;;;;
09263 STRAUBING,STADT ;26.903;17.128;9.490;;;;;;;;;;;;;;;;;;
09271 DEGGENDORF ;75.342;45.433;28.954;;;;;;;;;;;;;;;;;;
09272 FREYUNG-GRAFENAU ;50.832;30.313;20.101;;;;;;;;;;;;;;;;;;
09273 KELHEIM ;77.038;44.830;31.110;;;;;;;;;;;;;;;;;;
09274 LANDSHUT ;103.375;59.983;41.789;;;;;;;;;;;;;;;;;;
09275 PASSAU ;122.653;78.814;42.683;;;;;;;;;;;;;;;;;;
09276 REGEN ;48.175;29.061;18.539;;;;;;;;;;;;;;;;;;
09277 ROTTAL-INN ;79.825;49.023;29.838;;;;;;;;;;;;;;;;;;
09278 STRAUBING-BOGEN ;66.033;39.978;25.223;;;;;;;;;;;;;;;;;;
09279 DINGOLFING-LANDAU ;65.248;37.225;27.217;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;779.080;471.335;298.190;;;;;;;;;;;;;;;;;;
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;24.527;15.912;8.242;;;;;;;;;;;;;;;;;;
09362 REGENSBURG,STADT ;85.043;50.032;33.592;;;;;;;;;;;;;;;;;;
09363 WEIDEN I.D.OPF.,STADT ;25.612;16.440;8.885;;;;;;;;;;;;;;;;;;
09371 AMBERG-SULZBACH ;67.929;42.673;24.439;;;;;;;;;;;;;;;;;;
09372 CHAM ;85.508;53.054;31.379;;;;;;;;;;;;;;;;;;
09373 NEUMARKT I.D.OPF. ;85.254;51.734;32.456;;;;;;;;;;;;;;;;;;
09374 NEUSTADT A.D.WALDNAAB ;63.164;40.106;22.376;;;;;;;;;;;;;;;;;;
09375 REGENSBURG ;121.888;74.876;44.996;;;;;;;;;;;;;;;;;;
09376 SCHWANDORF ;96.347;57.845;37.055;;;;;;;;;;;;;;;;;;
09377 TIRSCHENREUTH ;47.693;31.400;15.904;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;702.965;434.072;259.324;;;;;;;;;;;;;;;;;;
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;39.820;24.781;14.384;;;;;;;;;;;;;;;;;;
09462 BAYREUTH,STADT ;38.747;24.842;13.434;;;;;;;;;;;;;;;;;;
09463 COBURG,STADT ;24.902;15.931;8.635;;;;;;;;;;;;;;;;;;
09464 HOF,STADT ;24.539;17.200;7.042;;;;;;;;;;;;;;;;;;
09471 BAMBERG ;98.231;62.385;34.714;;;;;;;;;;;;;;;;;;
09472 BAYREUTH ;69.533;44.853;23.907;;;;;;;;;;;;;;;;;;
09473 COBURG ;56.926;39.153;17.007;;;;;;;;;;;;;;;;;;
09474 FORCHHEIM ;75.586;48.757;25.898;;;;;;;;;;;;;;;;;;
09475 HOF ;62.092;41.876;19.484;;;;;;;;;;;;;;;;;;
09476 KRONACH ;44.425;29.430;14.569;;;;;;;;;;;;;;;;;;
09477 KULMBACH ;48.320;31.449;16.221;;;;;;;;;;;;;;;;;;
09478 LICHTENFELS ;43.456;28.953;14.085;;;;;;;;;;;;;;;;;;
09479 WUNSIEDEL I.FICHTELGEB. ;45.907;31.332;14.084;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;672.484;440.942;223.464;;;;;;;;;;;;;;;;;;
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;24.716;15.314;8.940;;;;;;;;;;;;;;;;;;
09562 ERLANGEN,STADT ;54.302;34.513;18.977;;;;;;;;;;;;;;;;;;
09563 FUERTH,STADT ;61.476;41.108;19.456;;;;;;;;;;;;;;;;;;
09564 NUERNBERG,STADT ;242.017;153.851;84.820;;;;;;;;;;;;;;;;;;
09565 SCHWABACH,STADT ;25.363;17.041;7.943;;;;;;;;;;;;;;;;;;
09571 ANSBACH ;119.972;73.945;44.427;;;;;;;;;;;;;;;;;;
09572 ERLANGEN-HOECHSTADT ;88.642;55.653;31.758;;;;;;;;;;;;;;;;;;
09573 FUERTH ;74.702;51.101;22.734;;;;;;;;;;;;;;;;;;
09574 NUERNBERGER LAND ;107.172;69.673;36.121;;;;;;;;;;;;;;;;;;
09575 NEUSTADT/AISCH-WINDSHEIM ;64.538;38.520;25.018;;;;;;;;;;;;;;;;;;
09576 ROTH ;83.454;52.063;30.356;;;;;;;;;;;;;;;;;;
09577 WEISSENBURG-GUNZENHAUSEN ;60.205;37.338;22.070;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.006.559;640.120;352.620;;;;;;;;;;;;;;;;;;
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;44.186;28.044;15.495;;;;;;;;;;;;;;;;;;
09662 SCHWEINFURT,STADT ;27.745;17.040;10.118;;;;;;;;;;;;;;;;;;
09663 WUERZBURG,STADT ;63.188;39.528;22.344;;;;;;;;;;;;;;;;;;
09671 ASCHAFFENBURG ;114.102;73.762;38.794;;;;;;;;;;;;;;;;;;
09672 BAD KISSINGEN;68.181;41.410;25.730;;;;;;;;;;;;;;;;;;
09673 RHOEN-GRABFELD;52.697;30.276;21.379;;;;;;;;;;;;;;;;;;
09674 HASSBERGE ;56.489;32.744;22.853;;;;;;;;;;;;;;;;;;
09675 KITZINGEN ;59.279;36.933;21.305;;;;;;;;;;;;;;;;;;
09676 MILTENBERG ;82.278;51.513;29.458;;;;;;;;;;;;;;;;;;
09677 MAIN-SPESSART ;83.188;51.219;30.548;;;;;;;;;;;;;;;;;;
09678 SCHWEINFURT ;76.271;48.847;26.040;;;;;;;;;;;;;;;;;;
09679 WUERZBURG ;103.284;66.081;35.285;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;830.888;517.397;299.349;;;;;;;;;;;;;;;;;;
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;134.698;88.430;43.526;;;;;;;;;;;;;;;;;;
09762 KAUFBEUREN,STADT ;23.926;15.698;7.860;;;;;;;;;;;;;;;;;;
09763 KEMPTEN(ALLGAEU),STADT ;37.807;23.479;13.757;;;;;;;;;;;;;;;;;;
09764 MEMMINGEN,STADT ;25.340;15.665;9.363;;;;;;;;;;;;;;;;;;
09771 AICHACH-FRIEDBERG ;83.541;53.495;28.736;;;;;;;;;;;;;;;;;;
09772 AUGSBURG ;158.888;104.902;51.398;;;;;;;;;;;;;;;;;;
09773 DILLINGEN A.D.DONAU ;62.259;39.582;21.776;;;;;;;;;;;;;;;;;;
09774 GUENZBURG ;80.570;49.648;30.014;;;;;;;;;;;;;;;;;;
09775 NEU-ULM ;105.901;69.656;35.115;;;;;;;;;;;;;;;;;;
09776 LINDAU (BODENSEE) ;50.696;32.710;17.371;;;;;;;;;;;;;;;;;;
09777 OSTALLGAEU ;87.786;54.951;31.494;;;;;;;;;;;;;;;;;;
09778 UNTERALLGAEU ;93.855;58.676;33.986;;;;;;;;;;;;;;;;;;
09779 DONAU-RIES ;88.220;54.225;32.801;;;;;;;;;;;;;;;;;;
09780 OBERALLGAEU ;97.337;61.275;35.012;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.130.824;722.392;392.209;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;7.845.761;4.872.189;2.858.419;;;;;;;;;;;;;;;;;;
BERLIN ;;;;;;;;;;;;;;;;;;;;;
11000 BERLIN ;1.202.829;863.140;307.976;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.202.829;863.140;307.976;;;;;;;;;;;;;;;;;;
BRANDENBURG ;;;;;;;;;;;;;;;;;;;;;
12051 BRANDENBURG/HAVEL,STADT ;34.077;25.104;8.453;;;;;;;;;;;;;;;;;;
12052 COTTBUS, STADT ;48.369;35.984;11.697;;;;;;;;;;;;;;;;;;
12053 FRANKFURT/ODER,STADT ;28.137;21.392;6.201;;;;;;;;;;;;;;;;;;
12054 POTSDAM,STADT ;73.608;50.889;21.263;;;;;;;;;;;;;;;;;;
12060 BARNIM ;101.968;72.978;26.838;;;;;;;;;;;;;;;;;;
12061 DAHME-SPREEWALD ;99.840;68.305;29.059;;;;;;;;;;;;;;;;;;
12062 ELBE-ELSTER ;63.087;44.224;17.848;;;;;;;;;;;;;;;;;;
12063 HAVELLAND ;90.795;63.773;25.181;;;;;;;;;;;;;;;;;;
12064 MAERKISCH-ODERLAND ;113.510;81.250;29.884;;;;;;;;;;;;;;;;;;
12065 OBERHAVEL ;118.699;84.506;31.611;;;;;;;;;;;;;;;;;;
12066 ODERSPREEWALD-LAUSITZ ;65.243;46.030;18.212;;;;;;;;;;;;;;;;;;
12067 ODER-SPREE ;105.111;74.707;28.607;;;;;;;;;;;;;;;;;;
12068 OSTPRIGNITZ-RUPPIN ;57.285;38.330;18.014;;;;;;;;;;;;;;;;;;
12069 POTSDAM-MITTELMARK ;124.491;82.867;39.384;;;;;;;;;;;;;;;;;;
12070 PRIGNITZ ;45.015;30.711;13.702;;;;;;;;;;;;;;;;;;
12071 SPREE-NEISSE ;70.448;51.540;18.025;;;;;;;;;;;;;;;;;;
12072 TELTOW-FLAEMING ;99.646;67.897;29.779;;;;;;;;;;;;;;;;;;
12073 UCKERMARK ;67.702;49.209;17.445;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.407.031;989.696;391.203;;;;;;;;;;;;;;;;;;
BREMEN ;;;;;;;;;;;;;;;;;;;;;
04011 BREMEN, STADT ;240.790;159.722;76.427;;;;;;;;;;;;;;;;;;
04012 BREMERHAVEN,STADT ;49.398;33.760;14.581;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;290.188;193.482;91.008;;;;;;;;;;;;;;;;;;
HAMBURG ;;;;;;;;;;;;;;;;;;;;;
02000 HAMBURG ;783.255;504.715;265.809;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;783.255;504.715;265.809;;;;;;;;;;;;;;;;;;
HESSEN ;;;;;;;;;;;;;;;;;;;;;
RB DARMSTADT ;72133;45820;24954;;;;;;;;;;;;;;;;;;
06411 DARMSTADT,STADT ;333.768;186.420;141.909;;;;;;;;;;;;;;;;;;
06412  FRANKFURT AM MAIN,STADT;55.311;34.923;19.368;;;;;;;;;;;;;;;;;;
06413  OFFENBACH AM MAIN,STADT;144.754;92.655;49.752;;;;;;;;;;;;;;;;;;
06414 WIESBADEN,STADT ;168.710;113.408;52.700;;;;;;;;;;;;;;;;;;
06431 BERGSTRASSE ;183.533;123.648;56.454;;;;;;;;;;;;;;;;;;
06432 DARMSTADT-DIEBURG ;172.590;120.025;49.916;;;;;;;;;;;;;;;;;;
06433 GROSS-GERAU ;165.590;104.517;58.516;;;;;;;;;;;;;;;;;;
06434 HOCHTAUNUSKREIS ;250.734;165.612;81.040;;;;;;;;;;;;;;;;;;
06435 MAIN-KINZIG-KREIS ;184.579;112.882;69.397;;;;;;;;;;;;;;;;;;
06436 MAIN-TAUNUS-KREIS ;60.803;40.043;19.581;;;;;;;;;;;;;;;;;;
06437 ODENWALDKREIS ;209.956;140.117;66.359;;;;;;;;;;;;;;;;;;
06438 OFFENBACH ;118.752;78.953;37.912;;;;;;;;;;;;;;;;;;
06439 RHEINGAU-TAUNUS-KREIS ;185.403;122.323;60.241;;;;;;;;;;;;;;;;;;
06440 WETTERAUKREIS ;2.306.616;1.481.346;788.099;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;;;;;;;;;;;;;;;;;;;;;
RB GIESSEN ;;;;;;;;;;;;;;;;;;;;;
06531 GIESSEN ;148.945;95.912;50.220;;;;;;;;;;;;;;;;;;
06532 LAHN-DILL-KREIS ;159.274;104.274;52.833;;;;;;;;;;;;;;;;;;
06533 LIMBURG-WEILBURG ;108.695;69.115;37.810;;;;;;;;;;;;;;;;;;
06534 MARBURG-BIEDENKOPF ;139.059;92.884;44.095;;;;;;;;;;;;;;;;;;
06535 VOGELSBERGKREIS ;70.120;45.349;23.716;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;626.093;407.534;208.674;;;;;;;;;;;;;;;;;;
RB KASSEL ;;;;;;;;;;;;;;;;;;;;;
06611 KASSEL,STADT ;88.186;57.769;28.825;;;;;;;;;;;;;;;;;;
06631 FULDA ;137.811;88.477;47.436;;;;;;;;;;;;;;;;;;
06632 HERSFELD-ROTENBURG ;76.634;50.176;25.307;;;;;;;;;;;;;;;;;;
06633 KASSEL, LAND ;144.955;99.443;43.135;;;;;;;;;;;;;;;;;;
06634 SCHWALM-EDER-KREIS ;115.369;76.041;37.169;;;;;;;;;;;;;;;;;;
06635 WALDECK-FRANKENBERG ;101.708;65.887;34.012;;;;;;;;;;;;;;;;;;
