Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB STUTTGART;;;;;;;;;;;;;;;;;;;;;
08111  STUTTGART,STADT;301.793;196.371;96.958;;;;;;;;;;;;;;;;;;
08115  BOEBLINGEN;253.000;164.557;82.438;;;;;;;;;;;;;;;;;;
08116  ESSLINGEN;329.698;219.852;104.219;;;;;;;;;;;;;;;;;;
08117  GOEPPINGEN;163.772;106.944;54.041;;;;;;;;;;;;;;;;;;
08118  LUDWIGSBURG;329.497;226.185;97.531;;;;;;;;;;;;;;;;;;
08119  REMS-MURR-KREIS;262.043;178.573;79.105;;;;;;;;;;;;;;;;;;
08121  HEILBRONN,STADT;66.712;43.752;21.795;;;;;;;;;;;;;;;;;;
08125  HEILBRONN;241.465;149.133;87.694;;;;;;;;;;;;;;;;;;
08126  HOHENLOHEKREIS;81.994;44.286;36.450;;;;;;;;;;;;;;;;;;
08127  SCHWAEBISCH-HALL;126.915;75.288;49.421;;;;;;;;;;;;;;;;;;
08128  MAIN-TAUBER-KREIS;88.162;53.236;33.210;;;;;;;;;;;;;;;;;;
08135  HEIDENHEIM;82.491;53.229;28.030;;;;;;;;;;;;;;;;;;
08136  OSTALBKREIS;202.810;126.574;72.847;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;2.530.352;1.637.980;843.739;;;;;;;;;;;;;;;;;;
RB KARLSRUHE ;;;;;;;;;;;;;;;;;;;;;
08211  BADEN-BADEN,STADT;34.474;21.893;12.004;;;;;;;;;;;;;;;;;;
08212  KARLSRUHE,STADT;140.712;90.320;47.528;;;;;;;;;;;;;;;;;;
08215  KARLSRUHE;276.059;184.610;86.928;;;;;;;;;;;;;;;;;;
08216  RASTATT;149.919;99.629;48.135;;;;;;;;;;;;;;;;;;
08221  HEIDELBERG,STADT;60.415;38.871;20.444;;;;;;;;;;;;;;;;;;
08222  MANNHEIM,STADT;151.038;99.394;48.971;;;;;;;;;;;;;;;;;;
08225  NECKAR-ODENWALD-KREIS;92.803;58.354;33.130;;;;;;;;;;;;;;;;;;
08226  RHEIN-NECKAR-KREIS;349.018;230.404;112.205;;;;;;;;;;;;;;;;;;
08231  PFORZHEIM,STADT;61.278;40.881;19.378;;;;;;;;;;;;;;;;;;
08235  CALW;103.052;64.474;36.942;;;;;;;;;;;;;;;;;;
08236  ENZKREIS;130.447;88.358;40.043;;;;;;;;;;;;;;;;;;
08237  FREUDENSTADT;75.730;45.457;29.163;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.624.945;1.062.645;534.871;;;;;;;;;;;;;;;;;;
RB FREIBURG;;;;;;;;;;;;;;;;;;;;;
08311  FREIBURG I.BREISG.STADT;92.378;57.133;33.315;;;;;;;;;;;;;;;;;;
08315  BREISGAU-HOCHSCHWARZWALD;156.737;100.672;53.393;;;;;;;;;;;;;;;;;;
08316  EMMENDINGEN;99.576;65.971;32.060;;;;;;;;;;;;;;;;;;
08317  ORTENAUKREIS;268.191;174.202;90.647;;;;;;;;;;;;;;;;;;
08325  ROTTWEIL;92.429;57.177;34.074;;;;;;;;;;;;;;;;;;
08326  SCHWARZWALD-BAAR-KREIS;129.846;83.664;44.203;;;;;;;;;;;;;;;;;;
08327  TUTTLINGEN;87.166;53.890;32.090;;;;;;;;;;;;;;;;;;
08335  KONSTANZ;158.401;109.292;46.040;;;;;;;;;;;;;;;;;;
08336  LOERRACH;135.442;92.538;40.727;;;;;;;;;;;;;;;;;;
08337  WALDSHUT;105.930;70.591;33.874;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.326.096;865.130;440.423;;;;;;;;;;;;;;;;;;
RB TUEBINGEN;;;;;;;;;;;;;;;;;;;;;
08415  REUTLINGEN;177.579;114.666;59.940;;;;;;;;;;;;;;;;;;
08416  TUEBINGEN;123.899;78.214;43.214;;;;;;;;;;;;;;;;;;
08417  ZOLLERNALBKREIS;126.329;81.337;43.092;;;;;;;;;;;;;;;;;;
08421  ULM,STADT;66.213;39.967;25.112;;;;;;;;;;;;;;;;;;
08425  ALB-DONAU-KREIS;125.548;78.257;45.692;;;;;;;;;;;;;;;;;;
08426  BIBERACH;128.578;77.868;49.013;;;;;;;;;;;;;;;;;;
08435  BODENSEEKREIS;135.966;88.249;45.315;;;;;;;;;;;;;;;;;;
08436  RAVENSBURG;176.494;108.250;65.826;;;;;;;;;;;;;;;;;;
08437  SIGMARINGEN;84.661;51.285;31.888;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1.145.267;718.093;409.092;;;;;;;;;;;;;;;;;;
LAND INSGESAMT;6.626.660;4.283.848;2.228.125;;;;;;;;;;;;;;;;;;
BAYERN;;;;;;;;;;;;;;;;;;;;;
RB OBERBAYERN;;;;;;;;;;;;;;;;;;;;;
09161  INGOLSTADT,STADT;97.955;59.373;34.035;;;;;;;;;;;;;;;;;;
09162  MUENCHEN,STADT;725.690;437.002;270.546;;;;;;;;;;;;;;;;;;
09163  ROSENHEIM,STADT;34.480;21.508;12.440;;;;;;;;;;;;;;;;;;
09171  ALTOETTING;69.628;44.179;24.365;;;;;;;;;;;;;;;;;;
09172  BERCHTESGADENER LAND;64.182;41.200;22.186;;;;;;;;;;;;;;;;;;
09173  BAD TOELZ-WOLFRATSHAUSEN;78.997;47.548;30.128;;;;;;;;;;;;;;;;;;
09174  DACHAU;91.127;58.574;31.036;;;;;;;;;;;;;;;;;;
09175  EBERSBERG;83.357;51.726;30.171;;;;;;;;;;;;;;;;;;
09176  EICHSTAETT;82.495;50.166;31.140;;;;;;;;;;;;;;;;;;
09177  ERDING;87.593;52.880;33.008;;;;;;;;;;;;;;;;;;
09178  FREISING;107.160;63.064;42.108;;;;;;;;;;;;;;;;;;
09179  FUERSTENFELDBRUCK;121.748;79.966;39.762;;;;;;;;;;;;;;;;;;
09180  GARMISCH-PARTENKIRCHEN;51.469;32.848;17.817;;;;;;;;;;;;;;;;;;
09181  LANDSBERG AM LECH;80.133;48.028;30.468;;;;;;;;;;;;;;;;;;
09182 MIESBACH ;64.916;39.329;24.618;;;;;;;;;;;;;;;;;;
09183 MUEHLDORF A.INN ;72.834;45.224;26.379;;;;;;;;;;;;;;;;;;
09184 MUENCHEN ;245.522;146.756;92.996;;;;;;;;;;;;;;;;;;
09185 NEUBURG-SCHROBENHAUSEN ;64.035;38.989;24.071;;;;;;;;;;;;;;;;;;
09186 PFAFFENHOFEN A.D.ILM ;82.140;48.271;32.487;;;;;;;;;;;;;;;;;;
09187 ROSENHEIM ;168.325;104.643;61.168;;;;;;;;;;;;;;;;;;
09188 STARNBERG ;86.177;53.552;30.989;;;;;;;;;;;;;;;;;;
09189 TRAUNSTEIN ;114.157;71.432;41.040;;;;;;;;;;;;;;;;;;
09190 WEILHEIM-SCHONGAU ;86.550;54.014;31.108;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2.760.670;1.690.272;1.014.066;;;;;;;;;;;;;;;;;;
RB NIEDERBAYERN ;;;;;;;;;;;;;;;;;;;;;
09261 LANDSHUT,STADT ;36.926;22.914;13.317;;;;;;;;;;;;;;;;;;
09262 PASSAU,STADT ;27.959;17.552;9.951;;;;;;;;;;;;;;;;;;
09263 STRAUBING,STADT ;27.026;17.234;9.445;;;;;;;;;;;;;;;;;;
09271 DEGGENDORF ;76.737;45.994;29.711;;;;;;;;;;;;;;;;;;
09272 FREYUNG-GRAFENAU ;51.759;30.792;20.477;;;;;;;;;;;;;;;;;;
09273 KELHEIM ;78.799;45.783;31.781;;;;;;;;;;;;;;;;;;
09274 LANDSHUT ;106.058;60.979;43.220;;;;;;;;;;;;;;;;;;
09275 PASSAU ;125.328;80.336;43.647;;;;;;;;;;;;;;;;;;
09276 REGEN ;49.084;29.531;18.935;;;;;;;;;;;;;;;;;;
09277 ROTTAL-INN ;81.199;49.484;30.627;;;;;;;;;;;;;;;;;;
09278 STRAUBING-BOGEN ;67.340;40.608;25.823;;;;;;;;;;;;;;;;;;
09279 DINGOLFING-LANDAU ;67.358;38.570;27.844;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;795.573;479.777;304.778;;;;;;;;;;;;;;;;;;
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;24.754;16.096;8.205;;;;;;;;;;;;;;;;;;
09362 REGENSBURG,STADT ;89.167;53.519;33.936;;;;;;;;;;;;;;;;;;
09363 WEIDEN I.D.OPF.,STADT ;25.983;16.684;8.961;;;;;;;;;;;;;;;;;;
09371 AMBERG-SULZBACH ;69.114;43.323;24.879;;;;;;;;;;;;;;;;;;
09372 CHAM ;86.814;53.573;32.090;;;;;;;;;;;;;;;;;;
09373 NEUMARKT I.D.OPF. ;87.110;52.796;33.089;;;;;;;;;;;;;;;;;;
09374 NEUSTADT A.D.WALDNAAB ;63.970;40.271;22.925;;;;;;;;;;;;;;;;;;
09375 REGENSBURG ;124.190;76.608;45.360;;;;;;;;;;;;;;;;;;
09376 SCHWANDORF ;98.301;58.784;37.966;;;;;;;;;;;;;;;;;;
09377 TIRSCHENREUTH ;48.286;31.541;16.304;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;717.689;443.195;263.715;;;;;;;;;;;;;;;;;;
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;40.355;25.237;14.304;;;;;;;;;;;;;;;;;;
09462 BAYREUTH,STADT ;39.186;25.221;13.356;;;;;;;;;;;;;;;;;;
09463 COBURG,STADT ;24.868;16.088;8.374;;;;;;;;;;;;;;;;;;
09464 HOF,STADT ;25.025;17.691;7.003;;;;;;;;;;;;;;;;;;
09471 BAMBERG ;99.565;63.100;35.200;;;;;;;;;;;;;;;;;;
09472 BAYREUTH ;70.405;45.513;24.031;;;;;;;;;;;;;;;;;;
09473 COBURG ;57.785;39.724;17.212;;;;;;;;;;;;;;;;;;
09474 FORCHHEIM ;76.768;49.706;25.895;;;;;;;;;;;;;;;;;;
09475 HOF ;62.783;42.364;19.646;;;;;;;;;;;;;;;;;;
09476 KRONACH ;44.919;29.830;14.610;;;;;;;;;;;;;;;;;;
09477 KULMBACH ;48.866;31.834;16.271;;;;;;;;;;;;;;;;;;
09478 LICHTENFELS ;43.946;29.208;14.290;;;;;;;;;;;;;;;;;;
09479 WUNSIEDEL I.FICHTELGEB. ;46.583;31.818;14.224;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;681.054;447.334;224.416;;;;;;;;;;;;;;;;;;
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;25.134;15.688;8.923;;;;;;;;;;;;;;;;;;
09562 ERLANGEN,STADT ;54.859;35.105;18.733;;;;;;;;;;;;;;;;;;
09563 FUERTH,STADT ;62.480;42.108;19.272;;;;;;;;;;;;;;;;;;
09564 NUERNBERG,STADT ;244.837;156.346;84.245;;;;;;;;;;;;;;;;;;
09565 SCHWABACH,STADT ;25.888;17.474;7.826;;;;;;;;;;;;;;;;;;
09571 ANSBACH ;122.224;75.460;44.984;;;;;;;;;;;;;;;;;;
09572 ERLANGEN-HOECHSTADT ;90.300;57.102;31.725;;;;;;;;;;;;;;;;;;
09573 FUERTH ;75.595;52.000;22.556;;;;;;;;;;;;;;;;;;
09574 NUERNBERGER LAND ;108.742;71.045;36.065;;;;;;;;;;;;;;;;;;
09575 NEUSTADT/AISCH-WINDSHEIM ;65.742;39.310;25.302;;;;;;;;;;;;;;;;;;
09576 ROTH ;84.955;53.162;30.555;;;;;;;;;;;;;;;;;;
09577 WEISSENBURG-GUNZENHAUSEN ;61.008;37.873;22.223;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.021.764;652.673;352.409;;;;;;;;;;;;;;;;;;
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;44.752;29.157;14.821;;;;;;;;;;;;;;;;;;
09662 SCHWEINFURT,STADT ;28.156;17.215;10.299;;;;;;;;;;;;;;;;;;
09663 WUERZBURG,STADT ;63.920;40.367;22.038;;;;;;;;;;;;;;;;;;
09671 ASCHAFFENBURG ;115.729;75.449;38.488;;;;;;;;;;;;;;;;;;
09672 BAD KISSINGEN;69.272;41.751;26.382;;;;;;;;;;;;;;;;;;
09673 RHOEN-GRABFELD;53.485;30.445;21.882;;;;;;;;;;;;;;;;;;
09674 HASSBERGE ;57.193;32.919;23.287;;;;;;;;;;;;;;;;;;
09675 KITZINGEN ;60.520;37.559;21.811;;;;;;;;;;;;;;;;;;
09676 MILTENBERG ;83.493;52.416;29.555;;;;;;;;;;;;;;;;;;
09677 MAIN-SPESSART ;84.284;52.028;30.672;;;;;;;;;;;;;;;;;;
09678 SCHWEINFURT ;77.389;49.155;26.752;;;;;;;;;;;;;;;;;;
09679 WUERZBURG ;104.787;67.342;35.277;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;842.980;525.803;301.264;;;;;;;;;;;;;;;;;;
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;136.121;89.940;43.038;;;;;;;;;;;;;;;;;;
09762 KAUFBEUREN,STADT ;24.543;16.199;7.904;;;;;;;;;;;;;;;;;;
09763 KEMPTEN(ALLGAEU),STADT ;38.765;24.199;13.902;;;;;;;;;;;;;;;;;;
09764 MEMMINGEN,STADT ;25.887;16.089;9.426;;;;;;;;;;;;;;;;;;
09771 AICHACH-FRIEDBERG ;85.118;54.750;28.840;;;;;;;;;;;;;;;;;;
09772 AUGSBURG ;162.408;107.761;51.618;;;;;;;;;;;;;;;;;;
09773 DILLINGEN A.D.DONAU ;63.654;40.341;22.269;;;;;;;;;;;;;;;;;;
09774 GUENZBURG ;82.410;50.724;30.631;;;;;;;;;;;;;;;;;;
09775 NEU-ULM ;108.000;71.074;35.483;;;;;;;;;;;;;;;;;;
09776 LINDAU (BODENSEE) ;51.577;33.286;17.567;;;;;;;;;;;;;;;;;;
09777 OSTALLGAEU ;89.706;56.023;32.172;;;;;;;;;;;;;;;;;;
09778 UNTERALLGAEU ;96.528;60.368;34.805;;;;;;;;;;;;;;;;;;
09779 DONAU-RIES ;89.861;55.047;33.376;;;;;;;;;;;;;;;;;;
09780 OBERALLGAEU ;99.113;62.322;35.601;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.153.691;738.123;396.632;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;7.973.421;4.977.177;2.857.280;;;;;;;;;;;;;;;;;;
BERLIN ;;;;;;;;;;;;;;;;;;;;;
11000 BERLIN ;1.210.790;875.664;298.450;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.210.790;875.664;298.450;;;;;;;;;;;;;;;;;;
BRANDENBURG ;;;;;;;;;;;;;;;;;;;;;
12051 BRANDENBURG/HAVEL,STADT ;34.241;25.183;8.476;;;;;;;;;;;;;;;;;;
12052 COTTBUS, STADT ;48.530;36.044;11.702;;;;;;;;;;;;;;;;;;
12053 FRANKFURT/ODER,STADT ;28.119;21.387;6.138;;;;;;;;;;;;;;;;;;
12054 POTSDAM,STADT ;74.974;52.074;21.221;;;;;;;;;;;;;;;;;;
12060 BARNIM ;103.916;74.177;27.399;;;;;;;;;;;;;;;;;;
12061 DAHME-SPREEWALD ;101.804;69.419;29.678;;;;;;;;;;;;;;;;;;
12062 ELBE-ELSTER ;63.496;44.034;18.205;;;;;;;;;;;;;;;;;;
12063 HAVELLAND ;92.209;64.650;25.488;;;;;;;;;;;;;;;;;;
12064 MAERKISCH-ODERLAND ;115.158;82.295;30.336;;;;;;;;;;;;;;;;;;
12065 OBERHAVEL ;120.459;85.518;32.040;;;;;;;;;;;;;;;;;;
12066 ODERSPREEWALD-LAUSITZ ;65.552;45.961;18.529;;;;;;;;;;;;;;;;;;
12067 ODER-SPREE ;106.151;75.137;29.082;;;;;;;;;;;;;;;;;;
12068 OSTPRIGNITZ-RUPPIN ;57.744;38.432;18.368;;;;;;;;;;;;;;;;;;
12069 POTSDAM-MITTELMARK ;126.318;84.221;39.622;;;;;;;;;;;;;;;;;;
12070 PRIGNITZ ;45.173;30.471;14.074;;;;;;;;;;;;;;;;;;
12071 SPREE-NEISSE ;70.530;51.324;18.252;;;;;;;;;;;;;;;;;;
12072 TELTOW-FLAEMING ;101.214;68.965;30.135;;;;;;;;;;;;;;;;;;
12073 UCKERMARK ;68.043;49.045;17.843;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.423.631;998.337;396.588;;;;;;;;;;;;;;;;;;
BREMEN ;;;;;;;;;;;;;;;;;;;;;
04011 BREMEN, STADT ;242.480;161.560;75.723;;;;;;;;;;;;;;;;;;
04012 BREMERHAVEN,STADT ;50.034;34.173;14.676;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;292.514;195.733;90.399;;;;;;;;;;;;;;;;;;
HAMBURG ;;;;;;;;;;;;;;;;;;;;;
02000 HAMBURG ;794.618;523.298;254.701;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;794.618;523.298;254.701;;;;;;;;;;;;;;;;;;
HESSEN ;;;;;;;;;;;;;;;;;;;;;
RB DARMSTADT ;;;;;;;;;;;;;;;;;;;;;
06411 DARMSTADT,STADT ;72.744;47.120;23.851;;;;;;;;;;;;;;;;;;
06412  FRANKFURT AM MAIN,STADT;336.413;194.532;134.764;;;;;;;;;;;;;;;;;;
06413  OFFENBACH AM MAIN,STADT;55.974;36.014;18.688;;;;;;;;;;;;;;;;;;
06414 WIESBADEN,STADT ;145.221;95.120;47.193;;;;;;;;;;;;;;;;;;
06431 BERGSTRASSE ;170.925;115.532;52.292;;;;;;;;;;;;;;;;;;
06432 DARMSTADT-DIEBURG ;186.019;126.730;55.177;;;;;;;;;;;;;;;;;;
06433 GROSS-GERAU ;173.912;121.892;49.078;;;;;;;;;;;;;;;;;;
06434 HOCHTAUNUSKREIS ;166.679;106.518;56.794;;;;;;;;;;;;;;;;;;
06435 MAIN-KINZIG-KREIS ;254.160;168.975;80.253;;;;;;;;;;;;;;;;;;
06436 MAIN-TAUNUS-KREIS ;188.700;122.686;62.906;;;;;;;;;;;;;;;;;;
06437 ODENWALDKREIS ;61.715;40.942;19.456;;;;;;;;;;;;;;;;;;
06438 OFFENBACH ;212.412;143.710;64.580;;;;;;;;;;;;;;;;;;
06439 RHEINGAU-TAUNUS-KREIS ;120.286;81.315;36.716;;;;;;;;;;;;;;;;;;
06440 WETTERAUKREIS ;188.362;125.378;59.570;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;2333522;1526464;761318;;;;;;;;;;;;;;;;;;
RB GIESSEN ;;;;;;;;;;;;;;;;;;;;;
06531 GIESSEN ;151.188;98.164;49.854;;;;;;;;;;;;;;;;;;
06532 LAHN-DILL-KREIS ;160.993;106.024;52.548;;;;;;;;;;;;;;;;;;
06533 LIMBURG-WEILBURG ;110.013;70.951;36.990;;;;;;;;;;;;;;;;;;
06534 MARBURG-BIEDENKOPF ;140.523;94.440;43.759;;;;;;;;;;;;;;;;;;
06535 VOGELSBERGKREIS ;70.906;45.826;23.929;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;633.623;415.405;207.080;;;;;;;;;;;;;;;;;;
RB KASSEL ;;;;;;;;;;;;;;;;;;;;;
06611 KASSEL,STADT ;89.343;58.788;28.694;;;;;;;;;;;;;;;;;;
06631 FULDA ;139.762;89.562;48.119;;;;;;;;;;;;;;;;;;
06632 HERSFELD-ROTENBURG ;77.695;50.600;25.913;;;;;;;;;;;;;;;;;;
06633 KASSEL, LAND ;147.167;101.122;43.365;;;;;;;;;;;;;;;;;;
06634 SCHWALM-EDER-KREIS ;116.937;77.122;37.508;;;;;;;;;;;;;;;;;;
06635 WALDECK-FRANKENBERG ;103.081;66.731;34.530;;;;;;;;;;;;;;;;;;
