Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
01001  FLENSBURG,STADT;39 488;26 839;12 246;353;38;50;2 186;8 874;7 136;17 672;2 955;4;206;271;1 841;3 439;4 960;1 495;4;101;
01002  KIEL,STADT;97 965;70 680;26 246;819;119;220;6 601;24 365;17 144;40 989;6 849;15;903;804;4 272;7 339;9 882;3 284;15;445;
01003  LUEBECK,STADT;88 084;65 724;21 426;799;231;135;6 517;22 303;15 077;36 926;5 500;15;714;632;3 378;6 093;8 427;2 364;15;339;
01004  NEUMUENSTER,STADT;37 440;27 042;9 943;417;152;38;2 519;9 636;6 968;15 607;2 137;2;175;242;1 572;2 946;4 029;986;2;73;
01051  DITHMARSCHEN;71 850;48 787;22 386;641;84;36;5 125;20 385;13 572;28 361;3 220;7;587;665;4 937;7 066;7 869;1 418;7;273;
01053  HERZOGTUM LAUENBURG;101 422;72 495;27 559;1 208;173;160;7 028;24 259;18 877;43 755;5 412;10;918;788;4 604;8 601;10 884;2 084;10;428;
01054  NORDFRIESLAND;91 177;62 004;28 215;906;215;52;6 131;24 507;17 835;36 655;4 192;8;562;803;6 163;9 078;9 811;1 739;8;265;
01055  OSTHOLSTEIN;109 420;79 990;28 192;1 159;218;79;7 593;27 262;19 717;47 320;5 352;7;1 015;881;5 321;8 991;10 381;1 973;7;459;
01056  PINNEBERG;156 317;115 679;39 124;1 357;256;157;9 161;36 122;28 282;70 041;10 127;38;674;896;6 113;11 845;15 463;4 036;38;299;
01057  PLOEN;71 080;50 581;19 829;608;44;62;4 744;18 477;13 484;29 670;3 381;5;491;635;3 937;6 453;7 165;1 161;5;241;
01058  RENDSBURG-ECKERNFOERDE;151 550;102 617;47 199;1 619;215;115;9 635;38 417;29 396;63 779;7 571;35;915;1 275;9 038;14 851;17 745;3 301;35;421;
01059  SCHLESWIG-FLENSBURG;110 743;72 518;36 886;1 267;61;72;7 201;30 353;22 359;44 097;4 625;6;703;957;7 774;12 139;13 246;2 012;6;312;
01060  SEGEBERG;146 063;103 591;40 539;1 591;204;342;8 721;34 757;27 997;63 689;8 345;33;854;1 006;6 647;12 554;15 860;3 697;33;406;
01061  STEINBURG;71 521;50 102;20 327;924;146;168;4 691;18 162;13 756;29 999;3 381;6;613;559;3 820;6 421;7 636;1 437;6;305;
01062  STORMARN;132 285;94 575;36 059;1 247;185;404;7 920;29 359;23 935;58 926;8 824;34;1 179;845;5 262;10 456;14 810;3 904;34;510;
LAND INSGESAMT;1 476 405;1 043 224;416 176;14 915;2 341;2 090;95 773;367 238;275 535;627 486;81 871;225;10 509;11 259;74 679;128 272;158 168;34 891;225;4 877;
HAMBURG;;;HAMBURG;;;;;;;;;;HAMBURG;;;;;;;;
02000  HAMBURG;725 845;520 397;199 661;4 839;970;948;43 326;148 350;119 471;307 092;91 134;281;4 325;3 937;24 086;50 994;77 382;39 106;281;1 902;
LAND INSGESAMT;725 845;520 397;199 661;4 839;970;948;43 326;148 350;119 471;307 092;91 134;281;4 325;3 937;24 086;50 994;77 382;39 106;281;1 902;
NIEDERSACHSEN;;;NIEDERSACHSEN;;;;;;;;;;NIEDERSACHSEN;;;;;;;;
RB BRAUNSCHWEIG;;;;;;;;;;;;;;;;;;;;;
03101  BRAUNSCHWEIG,STADT;113 471;81 545;30 369;1 350;333;207;6 988;24 522;17 495;50 635;10 982;37;1 302;557;3 642;8 206;12 320;4 927;37;451;
03102  SALZGITTER,STADT;49 004;36 743;11 216;1 015;110;30;3 322;12 352;8 489;20 978;3 060;8;268;202;1 800;3 466;4 489;1 083;8;86;
03103  WOLFSBURG,STADT;113 301;67 152;45 152;747;217;250;3 411;10 828;6 708;28 713;61 232;292;938;392;1 987;4 269;8 631;29 179;292;263;
03151  GIFHORN;91 016;62 559;27 365;1 051;174;41;5 389;21 687;14 450;40 695;7 283;18;466;569;4 811;8 629;10 513;2 398;18;203;
03152  GOETTINGEN;123 711;91 029;31 100;1 513;341;69;8 683;31 357;21 476;51 400;7 750;16;1 148;683;5 075;9 350;12 109;3 144;16;519;
03153  GOSLAR;74 215;54 267;18 708;1 176;235;64;4 406;16 779;13 278;33 942;4 413;9;400;320;2 532;5 806;8 015;1 709;9;145;
03154  HELMSTEDT;49 108;34 857;13 399;821;45;31;3 465;11 471;7 498;21 872;3 883;13;357;325;2 081;4 028;5 361;1 324;13;147;
03155  NORTHEIM;79 466;59 625;18 746;1 058;130;37;5 504;20 115;13 873;33 673;4 461;14;695;417;2 829;5 702;7 777;1 614;14;274;
03156  OSTERODE AM HARZ;43 426;32 718;10 062;613;161;33;2 753;10 550;7 707;18 850;2 367;7;379;202;1 468;3 119;4 176;886;7;132;
03157  PEINE;72 612;54 459;16 797;1 330;158;26;5 344;19 278;12 338;30 529;3 943;6;464;362;2 876;5 334;6 642;1 273;6;175;
03158  WOLFENBUETTEL;66 941;49 018;16 832;1 020;156;71;4 534;15 832;11 426;29 797;4 129;7;471;382;2 705;5 292;6 735;1 419;7;200;
RB ZUSAMMEN;876 271;623 972;239 746;11 694;2 060;859;53 799;194 771;134 738;361 084;113 503;427;6 888;4 411;31 806;63 201;86 768;48 956;427;2 595;
RB HANNOVER;;;;;;;;;;;;;;;;;;;;;
03241  HANNOVER;518 326;380 467;129 379;7 520;1 657;960;35 404;122 785;86 993;225 816;38 153;136;3 074;1 993;15 245;35 785;57 192;17 082;136;1 262;
03251  DIEPHOLZ;121 851;88 220;31 766;1 779;301;86;7 743;31 585;22 680;51 062;6 641;30;650;705;5 548;9 962;12 321;2 664;30;243;
03252  HAMELN-PYRMONT;83 503;63 490;18 920;1 026;178;67;6 284;21 531;14 606;33 543;4 371;7;779;454;2 936;5 938;7 375;1 676;7;275;
03254  HILDESHEIM;145 626;109 252;34 404;1 876;187;94;9 143;35 270;25 687;64 269;8 847;14;819;667;4 962;10 786;14 225;3 205;14;280;
03255  HOLZMINDEN;41 629;31 376;9 680;551;85;22;2 998;10 301;6 947;17 622;2 349;2;572;239;1 489;2 865;3 938;887;2;173;
03256  NIENBURG(WESER);68 080;49 612;17 263;1 156;153;49;4 984;19 546;12 749;26 216;3 077;9;500;427;3 251;5 774;6 248;1 163;9;208;
03257  SCHAUMBURG;90 505;67 757;21 202;1 493;222;53;6 666;24 094;16 384;36 665;4 526;10;580;455;3 454;6 930;8 356;1 621;10;184;
RB ZUSAMMEN;1 069 520;790 174;262 614;15 401;2 783;1 331;73 222;265 112;186 046;455 193;67 964;208;6 974;4 940;36 885;78 040;109 655;28 298;208;2 625;
RB LUENEBURG;;;;;;;;;;;;;;;;;;;;;
03351  CELLE;96 172;69 068;25 730;1 322;132;52;6 489;24 723;17 644;40 188;5 505;17;739;586;4 126;8 011;10 125;2 384;17;332;
03352  CUXHAVEN;110 895;79 758;28 967;2 096;867;74;6 731;29 168;20 867;46 846;5 175;5;625;698;5 339;9 321;11 257;1 868;5;249;
03353  HARBURG;142 813;100 143;40 842;1 665;381;163;7 990;31 753;26 882;63 677;8 771;24;965;927;6 362;12 782;16 392;3 466;24;407;
03354  LUECHOW-DANNENBERG;27 373;18 864;7 824;662;188;23;2 366;8 512;5 195;9 598;1 129;3;260;258;1 876;2 529;2 510;432;3;127;
03355  LUENEBURG;88 835;61 270;26 464;1 036;159;65;5 493;22 118;17 122;37 482;5 084;12;743;640;4 473;8 369;10 328;2 195;12;341;
03356  OSTERHOLZ;63 445;46 568;15 653;1 175;174;49;4 128;16 600;12 232;26 420;3 032;5;357;357;2 635;5 126;6 099;1 166;5;128;
03357  ROTENBURG(WUEMME);94 560;64 529;28 524;1 457;459;50;6 014;25 573;18 090;38 639;4 717;7;532;589;5 113;9 206;10 938;2 200;7;217;
