location,jahresmittel,Insgesamt,dieselanteil
BADEN-WUERTTEMBERG ESSLINGEN,46.5,322083.75,0.32848305432595176
BADEN-WUERTTEMBERG FREIBURG,49.15384615384615,88447.38461538461,0.35222016231732334
BADEN-WUERTTEMBERG HEIDELBERG,42.375,58094.125,0.3338166890101478
BADEN-WUERTTEMBERG HEIDENHEIM,45.0,77546.25,0.32744365557049393
BADEN-WUERTTEMBERG HEILBRONN,57.714285714285715,143025.92857142858,0.3378116981977323
BADEN-WUERTTEMBERG KARLSRUHE,39.2,199828.5,0.31827556385225325
BADEN-WUERTTEMBERG LUDWIGSBURG,57.0,308374.85714285716,0.3026552140969092
BADEN-WUERTTEMBERG MANNHEIM,42.75,149741.25,0.32747831112902986
BADEN-WUERTTEMBERG PFORZHEIM,38.333333333333336,58450.833333333336,0.31535398956076105
BADEN-WUERTTEMBERG RASTATT,37.0,147332.0,0.32427442782287624
BADEN-WUERTTEMBERG RAVENSBURG,42.5,171209.0,0.3732605440538246
BADEN-WUERTTEMBERG REUTLINGEN,64.625,167989.375,0.3409127467438708
BADEN-WUERTTEMBERG STUTTGART,64.62962962962963,291939.3333333333,0.34982558840440214
BADEN-WUERTTEMBERG ULM,48.2,62251.4,0.37267139231137036
BAYERN ANSBACH,32.75,69297.125,0.34702129959801065
BAYERN AUGSBURG,36.53333333333333,140447.33333333334,0.3099284965825552
BAYERN BAYREUTH,30.0,52426.3125,0.3256900564248143
BAYERN INGOLSTADT,26.875,92280.0,0.38615572597170905
BAYERN KELHEIM,21.571428571428573,73767.85714285714,0.3902668152971797
BAYERN LANDSHUT,27.625,66322.5625,0.36680631123510665
BAYERN LINDAU,24.125,48481.625,0.32394961105462194
BAYERN REGENSBURG,40.0,96760.0625,0.3621295186253293
BERLIN BERLIN,43.892857142857146,1206809.5,0.2512675024912406
BRANDENBURG BRANDENBURG,26.142857142857142,33459.28571428572,0.2295169229544556
BRANDENBURG COTTBUS,29.166666666666668,47752.083333333336,0.22183366930797435
BRANDENBURG FRANKFURT,33.375,28027.875,0.1987891404770175
BRANDENBURG POTSDAM,38.266666666666666,95131.56666666667,0.27855362412259316
BREMEN BREMEN,41.375,234721.75,0.2977241892014951
BREMEN BREMERHAVEN,33.5,49716.0,0.2942472178556624
HAMBURG HAMBURG,52.375,759228.0,0.3239150510035097
HESSEN DARMSTADT,55.714285714285715,151688.0357142857,0.3238933400256468
HESSEN FRANKFURT,49.75,241255.8125,0.38875836588602225
HESSEN FULDA,40.875,132174.25,0.3255056485572595
HESSEN GIESSEN,43.875,143719.5,0.3185799613632764
HESSEN KASSEL,43.0,112788.3125,0.29404551248539135
HESSEN LIMBURG,48.611111111111114,105689.0,0.33395712400049404
HESSEN MARBURG,40.111111111111114,135402.44444444444,0.3035055958670342
HESSEN OFFENBACH,45.4,127968.31666666667,0.31020605494688813
HESSEN WIESBADEN,52.0625,143372.875,0.32622510592237963
MECKLENBURG-VORPOMMERN ROSTOCK,33.75,100552.375,0.28288764104887243
MECKLENBURG-VORPOMMERN SCHWERIN,20.375,42301.125,0.27426753288322164
NIEDERSACHSEN BRAUNSCHWEIG,37.95,130637.75,0.3371839106260099
NIEDERSACHSEN HAMELN,41.625,87367.625,0.2679143446736446
NIEDERSACHSEN HANNOVER,46.77272727272727,551050.4772727273,0.2923071995408199
NIEDERSACHSEN HILDESHEIM,41.7,153646.1,0.2793083271189426
NIEDERSACHSEN OLDENBURG,42.5,78548.0,0.30004583184804196
NIEDERSACHSEN WOLFSBURG,34.111111111111114,136752.0,0.40557399168227154
NORDRHEIN-WESTFALEN AACHEN,44.7,278063.4,0.31695586034812817
NORDRHEIN-WESTFALEN BIELEFELD,38.43478260869565,160632.65217391305,0.3106231574616966
NORDRHEIN-WESTFALEN BOCHUM,48.375,187527.0,0.2493321716840122
NORDRHEIN-WESTFALEN BONN,45.5,172552.5,0.4149900576685702
NORDRHEIN-WESTFALEN BOTTROP,37.375,64521.75,0.2174480369771203
