,jahr,bundesland,split,jahresmittel,Insgesamt,dieselanteil,location
3,2012,BADEN-WUERTTEMBERG,FREIBURG,65.0,85591,0.32437989975581544,BADEN-WUERTTEMBERG FREIBURG
4,2012,BADEN-WUERTTEMBERG,FREIBURG,50.0,85591,0.32437989975581544,BADEN-WUERTTEMBERG FREIBURG
6,2012,BADEN-WUERTTEMBERG,HEIDELBERG,51.0,55499,0.3003477540135858,BADEN-WUERTTEMBERG HEIDELBERG
7,2012,BADEN-WUERTTEMBERG,HEIDENHEIM,53.0,73503,0.29932111614491924,BADEN-WUERTTEMBERG HEIDENHEIM
10,2012,BADEN-WUERTTEMBERG,KARLSRUHE,46.0,131995,0.31203454676313497,BADEN-WUERTTEMBERG KARLSRUHE
11,2012,BADEN-WUERTTEMBERG,KARLSRUHE,46.0,247393,0.2769439717372763,BADEN-WUERTTEMBERG KARLSRUHE
16,2012,BADEN-WUERTTEMBERG,LUDWIGSBURG,61.0,292479,0.27709681720738927,BADEN-WUERTTEMBERG LUDWIGSBURG
21,2012,BADEN-WUERTTEMBERG,REUTLINGEN,79.0,159321,0.31692620558495116,BADEN-WUERTTEMBERG REUTLINGEN
23,2012,BADEN-WUERTTEMBERG,STUTTGART,90.0,277606,0.32636182215081805,BADEN-WUERTTEMBERG STUTTGART
25,2012,BADEN-WUERTTEMBERG,STUTTGART,91.0,277606,0.32636182215081805,BADEN-WUERTTEMBERG STUTTGART
26,2012,BADEN-WUERTTEMBERG,STUTTGART,64.0,277606,0.32636182215081805,BADEN-WUERTTEMBERG STUTTGART
28,2012,BADEN-WUERTTEMBERG,ULM,58.0,59497,0.35080760374472664,BADEN-WUERTTEMBERG ULM
29,2012,BADEN-WUERTTEMBERG,ULM,61.0,59497,0.35080760374472664,BADEN-WUERTTEMBERG ULM
30,2012,BAYERN,ANSBACH,39.0,22087,0.3121293068320732,BAYERN ANSBACH
31,2012,BAYERN,ANSBACH,39.0,108729,0.310184035537897,BAYERN ANSBACH
36,2012,BAYERN,AUGSBURG,46.0,119803,0.2799512533075132,BAYERN AUGSBURG
37,2012,BAYERN,AUGSBURG,46.0,141968,0.2767313760847515,BAYERN AUGSBURG
38,2012,BAYERN,AUGSBURG,33.0,119803,0.2799512533075132,BAYERN AUGSBURG
39,2012,BAYERN,AUGSBURG,33.0,141968,0.2767313760847515,BAYERN AUGSBURG
44,2012,BAYERN,BAYREUTH,32.0,35710,0.29313917670120415,BAYERN BAYREUTH
45,2012,BAYERN,BAYREUTH,32.0,64688,0.2843494929507791,BAYERN BAYREUTH
51,2012,BAYERN,INGOLSTADT,34.0,84943,0.37827719765018897,BAYERN INGOLSTADT
53,2012,BAYERN,LANDSHUT,32.0,31980,0.3181988742964353,BAYERN LANDSHUT
54,2012,BAYERN,LANDSHUT,32.0,91667,0.3380278617168665,BAYERN LANDSHUT
55,2012,BAYERN,LINDAU,27.0,45510,0.2900021973192705,BAYERN LINDAU
61,2012,BAYERN,REGENSBURG,44.0,74818,0.36247961720441607,BAYERN REGENSBURG
62,2012,BAYERN,REGENSBURG,44.0,110659,0.3138380068498721,BAYERN REGENSBURG
68,2012,BRANDENBURG,BRANDENBURG,26.0,32567,0.19068382104584394,BRANDENBURG BRANDENBURG
70,2012,BRANDENBURG,COTTBUS,32.0,47366,0.19176202339230672,BRANDENBURG COTTBUS
72,2012,BRANDENBURG,FRANKFURT,33.0,28108,0.16682083392628433,BRANDENBURG FRANKFURT
73,2012,BRANDENBURG,POTSDAM,47.0,65697,0.22603771861728847,BRANDENBURG POTSDAM
74,2012,BRANDENBURG,POTSDAM,47.0,115146,0.24560123669080994,BRANDENBURG POTSDAM
77,2012,BRANDENBURG,POTSDAM,45.0,65697,0.22603771861728847,BRANDENBURG POTSDAM
78,2012,BRANDENBURG,POTSDAM,45.0,115146,0.24560123669080994,BRANDENBURG POTSDAM
81,2012,BREMEN,BREMEN,44.0,225074,0.25665336733696476,BREMEN BREMEN
92,2012,HAMBURG,HAMBURG,64.0,731283,0.29176802961370635,HAMBURG HAMBURG
93,2012,HAMBURG,HAMBURG,50.0,731283,0.29176802961370635,HAMBURG HAMBURG
94,2012,HAMBURG,HAMBURG,65.0,731283,0.29176802961370635,HAMBURG HAMBURG
97,2012,HAMBURG,HAMBURG,57.0,731283,0.29176802961370635,HAMBURG HAMBURG
102,2012,HESSEN,DARMSTADT,62.0,67841,0.3073952329712121,HESSEN DARMSTADT
103,2012,HESSEN,DARMSTADT,62.0,167609,0.26916215716339814,HESSEN DARMSTADT
104,2012,HESSEN,FRANKFURT,53.0,308146,0.3766461352735392,HESSEN FRANKFURT
109,2012,HESSEN,FULDA,44.0,125468,0.2921222941307744,HESSEN FULDA
110,2012,HESSEN,GIESSEN,44.0,136995,0.28324391401146026,HESSEN GIESSEN
111,2012,HESSEN,KASSEL,51.0,81266,0.2738291536435902,HESSEN KASSEL
112,2012,HESSEN,KASSEL,51.0,135037,0.2507238756785177,HESSEN KASSEL
116,2012,HESSEN,LIMBURG,44.0,101371,0.30161486026575646,HESSEN LIMBURG
117,2012,HESSEN,LIMBURG,58.0,101371,0.30161486026575646,HESSEN LIMBURG
