;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
;Brandenburg;;;;;;;;
'DEBB001';Burg (Spreewald);vorstädtisches Gebiet;Hintergrund;12;69;0;0;;
'DEBB006';Cottbus-Süd;städtisches Gebiet;Hintergrund;19;85;0;0;;
'DEBB009';Forst;vorstädtisches Gebiet;Hintergrund;15;72;0;0;;
'DEBB012';Herzberg;vorstädtisches Gebiet;Verkehr;22;73;0;0;;
'DEBB021';Potsdam-Zentrum;städtisches Gebiet;Hintergrund;18;97;0;0;;
'DEBB024';Senftenberg ;städtisches Gebiet;Hintergrund;14;77;0;0;;
'DEBB026';Spremberg-Süd;vorstädtisches Gebiet;Industrie;15;68;0;0;;
'DEBB028';Wittenberge, Packhofviertel;vorstädtisches Gebiet;Hintergrund;14;69;0;0;;
'DEBB029';Schwedt (Oder) ;vorstädtisches Gebiet;Industrie;10;64;0;0;;
'DEBB030';Premnitz ;vorstädtisches Gebiet;Industrie;14;56;0;0;;
'DEBB031';Königs Wusterhausen;vorstädtisches Gebiet;Hintergrund;18;112;0;0;;
'DEBB032';Eisenhüttenstadt  ;vorstädtisches Gebiet;Industrie;16;114;0;0;;
'DEBB036';Luckenwalde;vorstädtisches Gebiet;Hintergrund;16;71;0;0;;
'DEBB038';Prenzlau;vorstädtisches Gebiet;Hintergrund;12;78;0;0;;
'DEBB040';Nauen, Goethegymnasium;vorstädtisches Gebiet;Hintergrund;16;88;0;0;;
'DEBB042';Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;15;98;0;0;;
'DEBB043';Luckau;vorstädtisches Gebiet;Hintergrund;14;68;0;0;;
'DEBB044';Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;35;114;0;0;;
'DEBB045';Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;42;160;0;0;;
