;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
;Brandenburg;;;;;;
DEBB007;Elsterwerda;vorstädtisches Gebiet;Hintergrund;14;151;0;0
DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;18;130;0;0
DEBB026;Spremberg-Süd;vorstädtisches Gebiet;Industrie;12;70;0;0
DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;11;80;0;0
DEBB031;Königs Wusterhausen;vorstädtisches Gebiet;Hintergrund;20;102;0;0
DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;13;95;0;0
DEBB042;Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;14;81;0;0
DEBB044;Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;45;161;0;0
DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;40;146;0;0
DEBB048;Neuruppin;vorstädtisches Gebiet;Hintergrund;14;71;0;0
DEBB049;Brandenburg, Neuendorfer Str.;städtisches Gebiet;Verkehr;33;153;0;0
DEBB050;Bernau;vorstädtisches Gebiet;Hintergrund;15;91;0;0
DEBB053;Hasenholz;ländlich regional;Hintergrund;9;61;0;0
DEBB054;Potsdam Zeppelinstr.;städtisches Gebiet;Verkehr;43;208;0;1
DEBB055;Brandenburg a.d. Havel;vorstädtisches Gebiet;Hintergrund;13;143;0;0
DEBB063;Wittenberge;vorstädtisches Gebiet;Hintergrund;8;55;0;0
DEBB064;Cottbus;städtisches Gebiet;Hintergrund;15;78;0;0
DEBB065;Lütte (Belzig);ländlich regional;Hintergrund;10;55;0;0
DEBB066;Spreewald;ländlich regional;Hintergrund;9;52;0;0
DEBB067;Nauen;vorstädtisches Gebiet;Hintergrund;15;72;0;0
DEBB068;Bernau, Lohmühlenstr.;städtisches Gebiet;Verkehr;29;143;0;0
DEBB073;Potsdam, Großbeerenstr.;städtisches Gebiet;Verkehr;56;285;6;10
;Berlin;;;;;;
DEBE010;B Wedding-Amrumer Str.;städtisches Gebiet;Verkehr;26;151;0;0
DEBE018;B Schöneberg-Belziger Straße;städtisches Gebiet;Hintergrund;28;154;0;0
DEBE027;B Marienfelde-Schichauweg;ländlich stadtnah;Industrie;16;90;0;0
DEBE032;B Grunewald (3.5 m);ländlich stadtnah;Hintergrund;14;97;0;0
DEBE034;B Neukölln-Nansenstraße;städtisches Gebiet;Hintergrund;29;153;0;0
DEBE051;B Buch;vorstädtisches Gebiet;Hintergrund;15;89;0;0
DEBE056;B Friedrichshagen;ländlich stadtnah;Hintergrund;14;67;0;0
DEBE061;B Steglitz-Schildhornstr.;städtisches Gebiet;Verkehr;54;192;0;0
DEBE062;B Frohnau, Funkturm (3.5 m);ländlich stadtnah;Hintergrund;13;82;0;0
DEBE063;B Neukölln-Silbersteinstr.;städtisches Gebiet;Verkehr;52;178;0;0
