Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;Zahl* der Stundenwerte > 200 µg/m³
;Baden-Württemberg;;;;
DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;22;0
DEBW042;Bernhausen;vorstädtisches Gebiet;Hintergrund;33;0
DEBW046;Biberach;vorstädtisches Gebiet;Hintergrund;20;0
DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;25;0
DEBW154;Freiberg Benninger Straße;vorstädtisches Gebiet;Verkehr;53;---
DEBW122;Freiburg Schwarzwaldstraße (V);städtisches Gebiet;Verkehr;70;0
DEBW127;Freiburg Zähringer Straße (S);städtisches Gebiet;Verkehr;52;---
DEBW084;Freiburg-Mitte;städtisches Gebiet;Hintergrund;22;0
DEBW037;Freudenstadt;vorstädtisches Gebiet;Hintergrund;13;0
DEBW038;Friedrichshafen;städtisches Gebiet;Verkehr;24;0
DEBW112;Gärtringen;vorstädtisches Gebiet;Hintergrund;18;0
DEBW009;Heidelberg;städtisches Gebiet;Verkehr;28;0
DEBW151;Heidelberg Mittermaierstraße (S);städtisches Gebiet;Verkehr;56;---
DEBW015;Heilbronn;vorstädtisches Gebiet;Verkehr;31;0
DEBW152;Heilbronn Weinsberger Straße Ost (S);städtisches Gebiet;Verkehr;73;---
DEBW135;Herrenberg Hindenburger Straße (S);städtisches Gebiet;Verkehr;62;2
DEBW148;Ingersheim Tiefengasse (S);vorstädtisches Gebiet;Verkehr;57;---
DEBW001;Karlsruhe-Mitte;städtisches Gebiet;Verkehr;36;0
DEBW081;Karlsruhe-Nordwest;städtisches Gebiet;Hintergrund;25;0
DEBW080;Karlsruhe-Straße (V);städtisches Gebiet;Verkehr;45;4
DEBW022;Kehl-Hafen;vorstädtisches Gebiet;Industrie;26;0
DEBW052;Konstanz;städtisches Gebiet;Hintergrund;23;0
DEBW120;Leonberg Grabenstraße (S);städtisches Gebiet;Verkehr;70;16
DEBW024;Ludwigsburg;vorstädtisches Gebiet;Hintergrund;26;0
DEBW117;Ludwigsburg Friedrichstraße (S);städtisches Gebiet;Verkehr;69;3
DEBW006;Mannheim-Mitte;städtisches Gebiet;Hintergrund;33;0
DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;28;0
DEBW098;Mannheim-Straße (V);städtisches Gebiet;Verkehr;50;1
DEBW007;Mannheim-Süd;städtisches Gebiet;Hintergrund;31;0
DEBW142;Markgröningen Grabenstraße (S);vorstädtisches Gebiet;Verkehr;52;4
DEBW128;Mühlacker Stuttgarter Straße (S);vorstädtisches Gebiet;Verkehr;62;---
DEBW150;Murg Hauptstraße (S);vorstädtisches Gebiet;Verkehr;45;---
DEBW073;Neuenburg;vorstädtisches Gebiet;Industrie;21;0
DEBW103;Odenwald;ländliches Gebiet;Hintergrund;12;0
DEBW111;Offenburg;vorstädtisches Gebiet;Hintergrund;22;0
DEBW125;Pfinztal-Berghausen Karlsruher Straße (S);vorstädtisches Gebiet;Verkehr;52;---
DEBW130;Pforzheim Jahnstraße (S);städtisches Gebiet;Verkehr;52;---
DEBW033;Pforzheim-West;städtisches Gebiet;Verkehr;31;0
DEBW110;Pfullendorf;vorstädtisches Gebiet;Hintergrund;15;0
DEBW121;Pleidelsheim Beihinger Straße (S);städtisches Gebiet;Verkehr;58;9
DEBW026;Plochingen;vorstädtisches Gebiet;Hintergrund;35;0
DEBW027;Reutlingen;städtisches Gebiet;Hintergrund;28;0
DEBW147;Reutlingen Lederstraße Ost (S);städtisches Gebiet;Verkehr;88;26
DEBW143;Schramberg Oberndorfer Straße (S);vorstädtisches Gebiet;Verkehr;53;---
