Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert* in µg/m³;"Zahl** der Stundenwerte 
> 200 µg/m³"
;Baden-Württemberg;;;;
DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;23;0
DEBW076;Baden-Baden;vorstädtisches Gebiet;Hintergrund;16;0
DEBW042;Bernhausen;vorstädtisches Gebiet;Hintergrund;31;0
DEBW046;Biberach;vorstädtisches Gebiet;Hintergrund;18;0
DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;24;0
DEBW154;Freiberg Benninger Straße;vorstädtisches Gebiet;Verkehr;45;---
DEBW084;Freiburg;städtisches Gebiet;Hintergrund;19;0
DEBW122;Freiburg Schwarzwaldstraße (V);städtisches Gebiet;Verkehr;56;0
DEBW127;Freiburg Zähringer Straße (S);städtisches Gebiet;Verkehr;41;---
DEBW038;Friedrichshafen;städtisches Gebiet;Hintergrund;26;0
DEBW112;Gaertringen;vorstädtisches Gebiet;Hintergrund;15;0
DEBW009;Heidelberg;städtisches Gebiet;Hintergrund;27;0
DEBW151;Heidelberg Mittermaierstraße (S);städtisches Gebiet;Verkehr;45;---
DEBW145;Heidenheim Wilhelmstraße (S);vorstädtisches Gebiet;Verkehr;48;---
DEBW015;Heilbronn;städtisches Gebiet;Hintergrund;30;0
DEBW152;Heilbronn Weinsberger Straße Ost (S);städtisches Gebiet;Verkehr;64;3
DEBW135;Herrenberg Hindenburger Straße (S);städtisches Gebiet;Verkehr;52;---
DEBW133;Ilsfeld König-Wilhelm-Straße (S);vorstädtisches Gebiet;Verkehr;46;---
DEBW148;Ingersheim Tiefengasse (S);vorstädtisches Gebiet;Verkehr;41;---
DEBW080;Karlsruhe_Reinhold-Frank-Strasse;städtisches Gebiet;Verkehr;45;1
DEBW081;Karlsruhe-Nordwest;städtisches Gebiet;Hintergrund;24;0
DEBW022;Kehl;vorstädtisches Gebiet;Industrie;26;0
DEBW052;Konstanz;städtisches Gebiet;Hintergrund;23;0
DEBW120;Leonberg Grabenstraße (S);städtisches Gebiet;Verkehr;47;0
DEBW024;Ludwigsburg;vorstädtisches Gebiet;Hintergrund;27;0
DEBW117;Ludwigsburg Friedrichstraße (S);städtisches Gebiet;Verkehr;58;3
DEBW098;Mannheim_Friedrichsring;städtisches Gebiet;Verkehr;47;3
DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;28;0
DEBW142;Markgröningen Grabenstraße (S);vorstädtisches Gebiet;Verkehr;44;---
DEBW198;Mögglingen Hauptstraße;vorstädtisches Gebiet;Verkehr;43;---
DEBW128;Mühlacker Stuttgarter Straße (S);vorstädtisches Gebiet;Verkehr;54;---
DEBW073;Neuenburg;vorstädtisches Gebiet;Hintergrund;20;0
DEBW125;Pfinztal Karlsruher Straße (S);vorstädtisches Gebiet;Verkehr;40;0
DEBW033;Pforzheim;städtisches Gebiet;Hintergrund;27;0
DEBW130;Pforzheim Jahnstraße (S);städtisches Gebiet;Verkehr;42;---
DEBW121;Pleidelsheim Beihinger Straße (S);städtisches Gebiet;Verkehr;49;---
DEBW027;Reutlingen;städtisches Gebiet;Hintergrund;27;0
DEBW147;Reutlingen Lederstraße Ost (S);städtisches Gebiet;Verkehr;70;3
DEBW156;Schramberg Oberndorfer Straße;städtisches Gebiet;Verkehr;44;0
DEBW155;Schwäbisch Gmünd, Remsstraße (S);städtisches Gebiet;Verkehr;44;---
DEBW056;Schwäbisch_Hall;vorstädtisches Gebiet;Hintergrund;20;0
DEBW087;Schwäbische_Alb;ländlich regional;Hintergrund;8;0
DEBW031;Schwarzwald-Süd;ländlich regional;Hintergrund;4;0
DEBW225;Steinheim an der Murr;städtisches Gebiet;Verkehr;53;---
DEBW118;Stuttgart Am Neckartor (S);städtisches Gebiet;Verkehr;87;61
DEBW013;Stuttgart Bad Cannstatt;städtisches Gebiet;Hintergrund;32;0
DEBW116;Stuttgart Hohenheimer Straße (S);städtisches Gebiet;Verkehr;77;15
DEBW134;Stuttgart Waiblinger Straße;städtisches Gebiet;Verkehr;49;---
DEBW099;Stuttgart_Arnulf-Klett-Platz;städtisches Gebiet;Verkehr;62;0
DEBW059;Tauberbischofsheim;vorstädtisches Gebiet;Hintergrund;14;0
DEBW107;Tübingen;vorstädtisches Gebiet;Hintergrund;22;0
DEBW137;Tübingen-Unterjesingen Jesinger Hauptstraße (S);ländlich stadtnah;Verkehr;45;---
DEBW019;Ulm;städtisches Gebiet;Hintergrund;29;0
DEBW039;Villingen-Schwenningen;vorstädtisches Gebiet;Hintergrund;15;0
DEBW144;Walzbachtal-Jöhlingen Bahnhofstraße (S);vorstädtisches Gebiet;Verkehr;46;---
DEBW023;Weil am Rhein;vorstädtisches Gebiet;Hintergrund;18;0
DEBW157;Wendlingen Stuttgarter Strasse;städtisches Gebiet;Verkehr;40;---
DEBW010;Wiesloch;vorstädtisches Gebiet;Hintergrund;20;0
;Bayern;;;;
