Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
;Baden-Württemberg;;;;;;;;;;
DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;21;0;Aalen;;;;;
DEBW219;Backnang Eugen-Adolff-Straße;städtisches Gebiet;Verkehr;39;--- 1);Backnang;Eugen;Adolff;Straße;;
DEBW076;Baden-Baden;vorstädtisches Gebiet;Hintergrund;14;0;Baden;Baden;;;;
DEBW213;Balingen Schömberger Straße;vorstädtisches Gebiet;Verkehr;28;--- 1);Balingen;Schömberger;Straße;;;
DEBW042;Bernhausen;vorstädtisches Gebiet;Hintergrund;24;0;Bernhausen;;;;;
DEBW046;Biberach;vorstädtisches Gebiet;Hintergrund;16;0;Biberach;;;;;
DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;22;0;Eggenstein;;;;;
DEBW220;Esslingen Grabbrunnenstraße;städtisches Gebiet;Verkehr;39;--- 1);Esslingen;Grabbrunnenstraße;;;;
DEBW084;Freiburg;städtisches Gebiet;Hintergrund;16;0;Freiburg;;;;;
DEBW122;Freiburg Schwarzwaldstraße;städtisches Gebiet;Verkehr;36;0;Freiburg;Schwarzwaldstraße;;;;
DEBW038;Friedrichshafen;städtisches Gebiet;Hintergrund;21;0;Friedrichshafen;;;;;
DEBW112;Gärtringen;vorstädtisches Gebiet;Hintergrund;12;0;Gärtringen;;;;;
DEBW009;Heidelberg;städtisches Gebiet;Hintergrund;21;0;Heidelberg;;;;;
DEBW151;Heidelberg Mittermaierstraße;städtisches Gebiet;Verkehr;34;--- 1);Heidelberg;Mittermaierstraße;;;;
DEBW145;Heidenheim Wilhelmstraße;vorstädtisches Gebiet;Verkehr;36;--- 1);Heidenheim;Wilhelmstraße;;;;
DEBW015;Heilbronn;städtisches Gebiet;Hintergrund;24;0;Heilbronn;;;;;
DEBW152;Heilbronn Weinsberger Straße-Ost;städtisches Gebiet;Verkehr;47;0;Heilbronn;Weinsberger;Straße;Ost;;
DEBW135;Herrenberg Hindenburger Straße;städtisches Gebiet;Verkehr;37;--- 1);Herrenberg;Hindenburger;Straße;;;
DEBW133;Ilsfeld König-Wilhelm-Straße;vorstädtisches Gebiet;Verkehr;30;--- 1);Ilsfeld;König;Wilhelm;Straße;;
DEBW080;Karlsruhe Reinhold-Frank-Straße;städtisches Gebiet;Verkehr;34;0;Karlsruhe;Reinhold;Frank;Straße;;
DEBW081;Karlsruhe-Nordwest;städtisches Gebiet;Hintergrund;21;0;Karlsruhe;Nordwest;;;;
DEBW022;Kehl;vorstädtisches Gebiet;Industrie;24;0;Kehl;;;;;
DEBW052;Konstanz;städtisches Gebiet;Hintergrund;19;0;Konstanz;;;;;
DEBW223;Leinfelden-Echterdingen Hauptstraße;städtisches Gebiet;Verkehr;33;--- 1);Leinfelden;Echterdingen;Hauptstraße;;;
DEBW120;Leonberg Grabenstraße;städtisches Gebiet;Verkehr;36;0;Leonberg;Grabenstraße;;;;
DEBW024;Ludwigsburg;vorstädtisches Gebiet;Hintergrund;22;0;Ludwigsburg;;;;;
DEBW098;Mannheim Friedrichsring;städtisches Gebiet;Verkehr;42;0;Mannheim;Friedrichsring;;;;
DEBW115;Mannheim Luisenring (S);städtisches Gebiet;Verkehr;37;--- 1);Mannheim;Luisenring;(S);;;
DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;23;0;Mannheim;Nord;;;;
DEBW229;Marbach Schillerstraße;städtisches Gebiet;Verkehr;36;--- 1);Marbach;Schillerstraße;;;;
DEBW142;Markgröningen Grabenstraße;vorstädtisches Gebiet;Verkehr;33;--- 1);Markgröningen;Grabenstraße;;;;
