Stickstoffdioxid (NO2) im Jahr 2011@@@@@
@@@@@
- Erstellt vom Umweltbundesamt mit Daten der Messnetze der Länder und des Bundes, zuletzt aktualisiert am 07.06.12, Ergebnisse kaufmännisch gerundet.@@@@@
- Kriterien für die Aggregation der Werte: Richtlinie 2008/50/EG des Europäischen Parlaments und des Rates über Luftqualität und saubere Luft für Europa.@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@@@
@@@       *bei Messungen mit zu geringer zeitlicher Auflösung: ---@@
Stationscode@Name / Messnetz@Stationsumgebung@Art der Station@Jahres-mittelwert in µg/m³@Zahl* der 
@Baden-Württemberg@@@@
DEBW029@Aalen@vorstädtisches Gebiet@Hintergrund@22@0
DEBW042@Bernhausen@vorstädtisches Gebiet@Hintergrund@32@0
DEBW046@Biberach@vorstädtisches Gebiet@Hintergrund@21@0
DEBW004@Eggenstein@ländlich stadtnah@Hintergrund@24@0
DEBW154@Freiberg Benninger Straße@vorstädtisches Gebiet@Verkehr@53@---
DEBW122@Freiburg Schwarzwaldstraße (V)@städtisches Gebiet@Verkehr@67@0
DEBW127@Freiburg Zähringer Straße (S)@städtisches Gebiet@Verkehr@48@---
DEBW038@Friedrichshafen@städtisches Gebiet@Verkehr@24@0
DEBW112@Gaertringen@vorstädtisches Gebiet@Hintergrund@15@0
DEBW009@Heidelberg@städtisches Gebiet@Verkehr@25@0
DEBW151@Heidelberg Mittermaierstraße (S)@städtisches Gebiet@Verkehr@54@---
DEBW015@Heilbronn@vorstädtisches Gebiet@Verkehr@31@0
DEBW152@Heilbronn Weinsberger Straße Ost (S)@städtisches Gebiet@Verkehr@71@---
DEBW135@Herrenberg Hindenburger Straße (S)@städtisches Gebiet@Verkehr@61@---
DEBW133@Ilsfeld König-Wilhelm-Straße (S)@vorstädtisches Gebiet@Verkehr@50@---
DEBW148@Ingersheim Tiefengasse (S)@vorstädtisches Gebiet@Verkehr@56@---
DEBW126@Karlsruhe Kriegsstraße (S)@städtisches Gebiet@Verkehr@45@---
DEBW080@Karlsruhe_Reinhold-Frank-Strasse@städtisches Gebiet@Verkehr@49@2
DEBW081@Karlsruhe-Nordwest@städtisches Gebiet@Hintergrund@23@0
DEBW022@Kehl@vorstädtisches Gebiet@Industrie@25@2
DEBW052@Konstanz@städtisches Gebiet@Hintergrund@20@0
DEBW120@Leonberg Grabenstraße (S)@städtisches Gebiet@Verkehr@66@8
DEBW024@Ludwigsburg@vorstädtisches Gebiet@Hintergrund@27@0
DEBW117@Ludwigsburg Friedrichstraße (S)@städtisches Gebiet@Verkehr@62@2
DEBW098@Mannheim_Friedrichsring@städtisches Gebiet@Verkehr@51@1
DEBW006@Mannheim-Mitte@städtisches Gebiet@Hintergrund@31@0
DEBW005@Mannheim-Nord@vorstädtisches Gebiet@Industrie@28@0
DEBW142@Markgröningen Grabenstraße (S)@vorstädtisches Gebiet@Verkehr@53@---
DEBW128@Mühlacker Stuttgarter Straße (S)@vorstädtisches Gebiet@Verkehr@61@---
DEBW150@Murg Hauptstraße (S)@vorstädtisches Gebiet@Verkehr@46@---
DEBW073@Neuenburg@vorstädtisches Gebiet@Industrie@20@0
DEBW125@Pfinztal Karlsruher Straße (S)@vorstädtisches Gebiet@Verkehr@52@---
DEBW033@Pforzheim@städtisches Gebiet@Verkehr@29@0
DEBW130@Pforzheim Jahnstraße (S)@städtisches Gebiet@Verkehr@49@---
DEBW121@Pleidelsheim Beihinger Straße (S)@städtisches Gebiet@Verkehr@63@22
DEBW027@Reutlingen@städtisches Gebiet@Hintergrund@26@0
DEBW147@Reutlingen Lederstraße Ost (S)@städtisches Gebiet@Verkehr@84@43
DEBW156@Schramberg Oberndorfer Straße@städtisches Gebiet@Verkehr@50@---
DEBW155@Schwäbisch Gmünd, Remsstraße (S)@städtisches Gebiet@Verkehr@76@---
DEBW056@Schwäbisch_Hall@vorstädtisches Gebiet@Hintergrund@18@0
DEBW087@Schwäbische_Alb@ländlich regional@Hintergrund@6,4@0
DEBW031@Schwarzwald-Süd@ländlich regional@Hintergrund@4,3@0
DEBW118@Stuttgart Am Neckartor (S)@städtisches Gebiet@Verkehr@90@76
DEBW013@Stuttgart Bad Cannstatt@städtisches Gebiet@Hintergrund@31@0
DEBW116@Stuttgart Hohenheimer Straße (S)@städtisches Gebiet@Verkehr@97@269
DEBW099@Stuttgart_Arnulf-Klett-Platz@städtisches Gebiet@Verkehr@65@6
DEBW134@Stuttgart-Bad_Cannstatt@städtisches Gebiet@Verkehr@68@---
DEBW059@Tauberbischofsheim@vorstädtisches Gebiet@Hintergrund@14@0
DEBW107@Tübingen@vorstädtisches Gebiet@Hintergrund@22@0
DEBW136@Tübingen Mühlstraße (S)@städtisches Gebiet@Verkehr@73@41
DEBW137@Tübingen-Unterjesingen Jesinger Hauptstraße (S)@ländlich stadtnah@Verkehr@56@---
DEBW019@Ulm@städtisches Gebiet@Hintergrund@28@0
DEBW153@Ulm Karlstraße (S)@städtisches Gebiet@Verkehr@60@---
DEBW138@Ulm Zinglerstraße (S)@städtisches Gebiet@Verkehr@62@---
DEBW149@Urbach Hauptstraße (S)@vorstädtisches Gebiet@Verkehr@44@---
DEBW039@Villingen-Schwenningen@vorstädtisches Gebiet@Hintergrund@16@0
DEBW144@Walzbachtal-Jöhlingen Bahnhofstraße (S)@vorstädtisches Gebiet@Verkehr@53@---
DEBW023@Weil am Rhein@vorstädtisches Gebiet@Hintergrund@18@0
DEBW010@Wiesloch@vorstädtisches Gebiet@Hintergrund@19@0
@Bayern@@@@
DEBY109@Andechs/Rothenfeld@ländlich regional@Hintergrund@7,2@0
DEBY001@Ansbach/Residenzstraße@städtisches Gebiet@Verkehr@40@0
DEBY002@Arzberg/Egerstraße@städtisches Gebiet@Hintergrund@20@0
DEBY005@Aschaffenburg/Bussardweg@vorstädtisches Gebiet@Hintergrund@33@0
DEBY007@Augsburg/Bourges-Platz@städtisches Gebiet@Hintergrund@31@0
DEBY110@Augsburg/Karlstraße@städtisches Gebiet@Verkehr@49@0
DEBY006@Augsburg/Königsplatz@städtisches Gebiet@Verkehr@49@0
DEBY099@Augsburg/LfU@vorstädtisches Gebiet@Hintergrund@22@0
DEBY122@Bad Hindelang/Oberjoch@ländlich regional@Hintergrund@11@0
DEBY079@Bad Reichenhall/Nonn@vorstädtisches Gebiet@Hintergrund@19@0
DEBY009@Bamberg/Löwenbrücke@städtisches Gebiet@Hintergrund@29@0
DEBY111@Bayreuth/Hohenzollernring@städtisches Gebiet@Verkehr@31@0
DEBY010@Bayreuth/Rathaus@städtisches Gebiet@Verkehr@33@0
DEBY012@Burghausen/Marktler Straße@vorstädtisches Gebiet@Verkehr@26@0
DEBY014@Coburg/Lossaustraße@städtisches Gebiet@Verkehr@30@0
DEBY113@Erlangen/Kraepelinstraße@vorstädtisches Gebiet@Hintergrund@20@0
DEBY056@Fürth/Theresienstraße@städtisches Gebiet@Verkehr@33@0
DEBY081@Garmisch-Partenkirchen/Kreuzeckbahnstraße@ländlich stadtnah@Hintergrund@11@0
DEBY020@Hof/LfU@städtisches Gebiet@Hintergrund@18@0
DEBY021@Ingolstadt/Rechbergstraße@städtisches Gebiet@Hintergrund@34@0
DEBY031@Kempten (Allgäu)/Westendstraße@städtisches Gebiet@Hintergrund@21@0
DEBY004@Kleinwallstadt/Hofstetter Straße@vorstädtisches Gebiet@Hintergrund@16@0
DEBY032@Kulmbach/Konrad-Adenauer-Straße@städtisches Gebiet@Hintergrund@25@0
DEBY033@Landshut/Podewilsstraße@städtisches Gebiet@Verkehr@28@0
DEBY035@Lindau (Bodensee)/Holdereggenstraße@städtisches Gebiet@Verkehr@29@0
DEBY013@Mehring/Sportplatz@ländlich regional@Hintergrund@17@0
DEBY089@München/Johanneskirchen@vorstädtisches Gebiet@Hintergrund@23@0
DEBY115@München/Landshuter Allee@städtisches Gebiet@Verkehr@85@50
DEBY039@München/Lothstraße@städtisches Gebiet@Hintergrund@33@2
DEBY043@München/Moosach@städtisches Gebiet@Verkehr@39@2
DEBY114@München/Prinzregentenstraße@städtisches Gebiet@Verkehr@61@7
DEBY037@München/Stachus@städtisches Gebiet@Verkehr@76@6
DEBY047@Naila/Selbitzer Berg@ländlich stadtnah@Hintergrund@18@0
DEBY049@Neustadt a.d. Donau/Eining@ländlich regional@Hintergrund@14@0
DEBY052@Neu-Ulm/Gabelsbergerstraße@städtisches Gebiet@Hintergrund@34@0
DEBY053@Nürnberg/Bahnhof@städtisches Gebiet@Verkehr@37@0
DEBY120@Nürnberg/Von-der-Tann-Straße@städtisches Gebiet@Verkehr@49@0
DEBY054@Nürnberg/Ziegelsteinstraße@städtisches Gebiet@Verkehr@30@0
DEBY121@Oberaudorf/Inntal-Autobahn@vorstädtisches Gebiet@Verkehr@46@0
